Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,11.5588,NA,3.66850000000000,4.15940000000000,0.00000000000000,0.16820000000000,3.4105,7.8903,3.6685,3.6685,0.0000,0.1681,3.6686,0.3560,3.3126,3.2100,7.8903,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,15.6908,NA,4.13200000000000,4.16430000000000,0.00000000000000,0.18050000000000,3.4428,11.5588,4.1320,4.1320,0.0000,0.1682,4.1443,0.3671,3.7772,-0.4958,11.5588,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,19.8040,NA,4.11320000000000,4.16560000000000,0.00000000000000,0.19810000000000,3.4952,15.6908,4.1132,4.1132,0.0000,0.1805,4.1308,0.3612,3.7696,-0.0336,15.6908,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,24.0519,NA,4.24790000000000,4.17700000000000,0.00000000000000,0.20800000000000,3.4243,19.8040,4.2479,4.2479,0.0000,0.1981,4.2578,0.3717,3.8861,-0.0638,19.8040,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,28.1275,NA,4.07560000000000,4.17770000000000,0.00000000000000,0.19500000000000,3.5264,24.0519,4.0756,4.0756,0.0000,0.2080,4.0626,0.3593,3.7033,0.0702,24.0519,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,32.3385,NA,4.21100000000000,4.16700000000000,0.00000000000000,0.20470000000000,3.4824,28.1275,4.2110,4.2110,0.0000,0.1950,4.2207,0.3746,3.8461,-0.0914,28.1275,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,36.7217,NA,4.38320000000000,4.17040000000000,0.00000000000000,0.20180000000000,3.2696,32.3385,4.3832,4.3832,0.0000,0.2047,4.3803,0.3738,4.0065,0.0406,32.3385,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,40.6809,NA,3.95920000000000,4.15450000000000,0.00000000000000,0.19610000000000,3.4649,36.7217,3.9592,3.9592,0.0000,0.2018,3.9535,0.3633,3.5902,0.2287,36.7217,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,44.7842,NA,4.10330000000000,4.17750000000000,0.00000000000000,0.19900000000000,3.5391,40.6809,4.1033,4.1033,0.0000,0.1961,4.1062,0.3603,3.7459,-0.2183,40.6809,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,49.0057,NA,4.22150000000000,4.15260000000000,0.00000000000000,0.18860000000000,3.4702,44.7842,4.2215,4.2215,0.0000,0.1990,4.2111,0.3641,3.8470,-0.0493,44.7842,NA,NA,NA
